Klinik_ID_2018,Klinik_ID_2019,Klinikname,Adresse,Klinikort,teilgenommen,Facharzt_Gyn,Facharzt_Anaesthesie,Facharzt_Kinder,Stillberatung,Hebammen,Hebammen_VK,VK_Angabe,Kinderklinik,Geburtenzahl_2019,Kaiserschnittrate_rohe_Rate,Bewertung_Risikoadjustierte_Kaiserschnittrate,Risikoadjustierte_Kaiserschnittrate_2019
261601203-1,261601203-1,Ilm-Kreis-Kliniken Arnstadt Ilmenau gGmbH,Bärwinkelstraße 33,Arnstadt,TRUE,Ja,Ja,Ja,Nein,46 % mehr als empfohlen,9,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,657,"27,2 %",Im Toleranzbereich oder niedriger,0.87
260610428-1,260610428-1,Asklepios Paulinen Klinik,NA,Wiesbaden,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,1002,"27,0 %",Im Toleranzbereich oder niedriger,1.09
260812569-0,260812569-0,St. Anna-Klinik,Obere Waiblinger Str. 101,Stuttgart,TRUE,Ja,Ja,Nein,Ja,3 % mehr als empfohlen,9.05,vorhanden,Keine Kinderklinik angegeben,933,"34,0 %",Im Toleranzbereich oder niedriger,1.16
260530318-0,260530318-0,Kliniken der Stadt Köln gGmbH - Krankenhaus Holweide,NA,Köln,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1697,"42,5 %",Im Toleranzbereich oder niedriger,1.14
261600623-0,261600623-0,Klinikum Altenburger Land,Am Waldessaum 10,Altenburg,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik oder Kooperationsklinik,422,"33,9 %",Im Toleranzbereich oder niedriger,1.19
260930301-1,260930301-1,Klinikum Neumarkt,NA,Neumarkt,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik oder Kooperationsklinik,969,"38,3 %",Toleranzbereich überschritten,1.31
260841041-2,260841041-2,SRH Klinik Bad Saulgau,NA,Bad Saulgau,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,581,"25,3 %",Im Toleranzbereich oder niedriger,0.9
260591107-2,260591107-2,"St. Josefs-Hospital, Lennestadt",NA,Lennestadt,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,447,"28,2 %",Im Toleranzbereich oder niedriger,1.02
260530751-0,260530751-0,Marienhospital Brühl,NA,Brühl,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,677,"31,6 %",Im Toleranzbereich oder niedriger,1.23
260340977-0,260340977-0,St. Johannes Hospital in den Friesland-Kliniken,Bleichenpfad 9,Varel,TRUE,Nein,Ja,Nein,Ja,8 % mehr als empfohlen,9,vorhanden,Keine Kinderklinik angegeben,892,"30,7 %",Im Toleranzbereich oder niedriger,1.07
260570306-0,260570306-0,Klinikum Herford,Schwarzenmoorstraße 70,Herford,TRUE,Ja,Ja,Ja,Ja,17 % weniger als empfohlen,11.06,vorhanden,Eigene Kinderklinik,1425,"33,3 %",Im Toleranzbereich oder niedriger,1.03
260330793-0,260330793-0,Klinikum Uelzen,Hagenskamp 34,Uelzen,TRUE,Ja,Ja,Ja,Ja,überwiegend freiberufliche Hebammen³,NA,"n.v., da Beleghebammen",Eigene Kinderklinik oder Kooperationsklinik,331,"6,9 %",Im Toleranzbereich oder niedriger,0.35
260940416-0,260940416-0,Helios Frankenwaldklinik Kronach,NA,Kronach,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,448,"36,2 %",Im Toleranzbereich oder niedriger,1.17
260101137-0,260101137-0,Klinikum Itzehoe,Robert-Koch-Str. 2,Itzehoe,TRUE,Ja,Ja,Ja,Ja,8 % mehr als empfohlen,16,vorhanden,Eigene Kinderklinik,1589,"36,1 %",Im Toleranzbereich oder niedriger,1.12
260930016-0,260930016-0,Klinikum St. Marien Amberg,NA,Amberg,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1454,"34,2 %",Im Toleranzbereich oder niedriger,1.01
260340272-0,260340272-0,Krankenhaus St. Elisabeth,Lindenstr 3-7,Damme,TRUE,Nein,Ja,Nein,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Keine Kinderklinik angegeben,491,"33,6 %",Im Toleranzbereich oder niedriger,1.16
260711658-1,260711658-1,Marienhaus Klinikum Neuwied,Friedrich-Ebert-Str. 59,Neuwied,TRUE,Ja,Ja,Ja,Ja,19 % weniger als empfohlen,14.66,vorhanden,Eigene Kinderklinik,1950,"32,8 %",Im Toleranzbereich oder niedriger,0.92
261400723-2,261400723-2,Klinikum Oberlausitzer Bergland,Röntgenstr. 23,Ebersbach-Neugersdorf,TRUE,Ja,Ja,Nein,Ja,überwiegend freiberufliche Hebammen³,NA,"n.v., da Beleghebammen",Eigene Kinderklinik oder Kooperationsklinik,388,"21,4 %",Im Toleranzbereich oder niedriger,0.61
260970140-0,260970140-0,"Klinikum Kaufbeuren-Ostallgäu, Frauenklinik Kaufbeuren",Dr.-Gutermann-Str. 2,Kaufbeuren,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik oder Kooperationsklinik,958,"31,6 %",Im Toleranzbereich oder niedriger,1.06
260511554-0,260511554-0,Marien Hospital Wesel,Pastor- Janßen- Str. 8-38,Wesel,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik,1381,"36,3 %",Im Toleranzbereich oder niedriger,1.15
260500481-0,260500481-0,Agaplesion Allgemeines Krankenhaus Hagen gem. GmbH,NA,Hagen,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1260,"32,8 %",Im Toleranzbereich oder niedriger,1.08
260833519-1,260833519-1,Ortenau Klinikum Achern-Oberkirch,Josef-Wurzler Straße 7,Achern,TRUE,Nein,Ja,Nein,Nein,18 % mehr als empfohlen,11,vorhanden,Keine Kinderklinik angegeben,992,"30,8 %",Im Toleranzbereich oder niedriger,1.12
260913446-0,260913446-0,"München Klinik Schwabing, Städtisches Klinikum München GmbH",NA,München,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,2442,"31,6 %",Im Toleranzbereich oder niedriger,1.05
261100456-0,261100456-0,Krankenhaus Waldfriede e.V.,Argentinische Allee 40,Berlin,TRUE,Nein,Ja,Nein,Ja,22 % mehr als empfohlen,11.5,vorhanden,Keine Kinderklinik angegeben,1004,"32,1 %",Im Toleranzbereich oder niedriger,1.2
260200104-0,260200104-0,Asklepios Klinik Wandsbek,NA,Hamburg,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik oder Kooperationsklinik,698,"35,7 %",Toleranzbereich überschritten,1.25
260550244-1,260550244-1,St. Marien-Krankenhaus Ahaus-Vreden,NA,Ahaus,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,648,"28,4 %",Im Toleranzbereich oder niedriger,0.96
260730183-0,260730183-0,Katholisches Klinikum Mainz,An der Goldgrube 11,Mainz,TRUE,Ja,Ja,Nein,Ja,2 % weniger als empfohlen,20.3,vorhanden,Keine Kinderklinik angegeben,2223,"18,8 %",Im Toleranzbereich oder niedriger,0.68
260940029-1,260940029-1,Sozialstiftung Bamberg Klinikum,NA,Bamberg,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,2089,"26,5 %",Im Toleranzbereich oder niedriger,0.84
260610122-1,260610122-1,Bürgerhospital,Nibelungenallee 37-41,Frankfurt,TRUE,Ja,Ja,Ja,Ja,14 % mehr als empfohlen,40,vorhanden,Eigene Kinderklinik,3755,"34,0 %",Im Toleranzbereich oder niedriger,0.98
261201027-0,261201027-0,Lausitz Klinik Forst GmbH,Robert-Koch-Straße 35,Forst,TRUE,Ja,Ja,Nein,Nein,8 % mehr als empfohlen,6.13,vorhanden,Keine Kinderklinik angegeben,376,"34,8 %",Im Toleranzbereich oder niedriger,1.23
260550460-1,260550460-1,Christophorus-Kliniken Coesfeld Dülmen Nottuln,NA,Coesfeld,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,2166,"20,9 %",Im Toleranzbereich oder niedriger,0.59
261410155-0,261410155-0,Klinikum Mittweida - Landkreis Mittweida Krankenhaus gGmbH,Hainichener Straße 4-6,Mittweida,TRUE,Ja,Ja,Ja,Nein,37 % mehr als empfohlen,7.75,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,481,"20,4 %",Im Toleranzbereich oder niedriger,0.7
260340933-0,260340933-0,Hümmling Hospital Sögel GmbH,Mühlenstraße 17,Sögel,TRUE,Ja,Ja,Nein,Nein,15 % mehr als empfohlen,6.5,vorhanden,Keine Kinderklinik angegeben,523,"41,5 %",Im Toleranzbereich oder niedriger,1.12
260330134-0,260330134-0,AKH Allgemeines Krankenhaus Celle,Siemensplatz 4,Celle,TRUE,Ja,Ja,Ja,Ja,7 % mehr als empfohlen,17,vorhanden,Eigene Kinderklinik,1704,"30,3 %",Im Toleranzbereich oder niedriger,0.89
260710327-2,260710327-2,"DRK Krankenhaus Altenkirchen-Hachenburg, Standort Hachenburg",Alte Frankfurter Straße 12,Hachenburg,TRUE,Ja,Ja,Nein,Ja,überwiegend freiberufliche Hebammen³,NA,"n.v., da Beleghebammen",Keine Kinderklinik angegeben,751,"24,8 %",Im Toleranzbereich oder niedriger,0.92
260920025-1,260920025-1,Krankenhaus Landshut-Achdorf,NA,Landshut,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,2109,"40,3 %",Im Toleranzbereich oder niedriger,1.18
260720034-1,260720034-1,Klinikum Mutterhaus der Borromäerinnen gGmbH,Feldstraße 16,Trier,TRUE,Ja,Ja,Ja,Ja,26 % weniger als empfohlen,11.35,vorhanden,Eigene Kinderklinik,1636,"41,8 %",Im Toleranzbereich oder niedriger,1.17
260620271-1,260620271-1,Klinikum Bad Hersfeld GmbH,NA,Bad Hersfeld,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik oder Kooperationsklinik,965,"31,4 %",Im Toleranzbereich oder niedriger,1.02
260511510-0,260511510-0,Krankenhaus Bethanien,Bethanienstraße 21,Moers,TRUE,Ja,Ja,Ja,Ja,32 % mehr als empfohlen,16.25,vorhanden,Eigene Kinderklinik,1317,"40,9 %",Im Toleranzbereich oder niedriger,1.15
260551165-2,260551165-2,Klinikum Vest GmbH,NA,Recklinghausen,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,633,"37,1 %",Im Toleranzbereich oder niedriger,1.21
260720330-1,260720330-1,Verbundkrankenhaus Bernkastel / Wittlich,Koblenzer Str. 91,Wittlich,TRUE,Ja,Ja,Ja,Ja,14 % weniger als empfohlen,10,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,1244,"39,2 %",Im Toleranzbereich oder niedriger,1.2
260820865-0,260820865-0,Siloah St. Trudpert Klinikum,Wilferdingerstrasse 67,Pforzheim,TRUE,Ja,Ja,Nein,Ja,3 % mehr als empfohlen,13,vorhanden,Keine Kinderklinik angegeben,1356,"22,1 %",Im Toleranzbereich oder niedriger,0.89
261400040-1,261400040-1,Diakonissen­krankenhaus Dresden,NA,Dresden,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik oder Kooperationsklinik,1389,"15,9 %",Im Toleranzbereich oder niedriger,0.45
260620670-0,260620670-0,Stadtkrankenhaus Korbach gGmbH,NA,Korbach,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,350,"26,3 %",Im Toleranzbereich oder niedriger,1.05
261100310-0,261100310-0,Martin-Luther-Krankenhaus,Caspar-Theyß-Starße 27-31,Berlin,TRUE,Ja,Ja,Ja,Nein,22 % weniger als empfohlen,12.5,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,1710,"28,7 %",Im Toleranzbereich oder niedriger,1.1
260550905-1,260550905-1,Mathias-Spital Rheine,Frankenburgstr. 31,Rheine,TRUE,Ja,Ja,Ja,Ja,15 % weniger als empfohlen,16.5,vorhanden,Eigene Kinderklinik,2085,"28,9 %",Im Toleranzbereich oder niedriger,0.91
260510531-0,260510531-0,Alfried Krupp Krankenhaus Rüttenscheid,NA,Essen,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,975,"31,0 %",Im Toleranzbereich oder niedriger,1.06
261300118-0,261300118-0,Klinikum Südstadt Rostock,NA,Rostock,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,2875,"25,0 %",Im Toleranzbereich oder niedriger,0.81
261400723-1,261400723-1,Klinikum Oberlausitzer Bergland,Görlitzer Str. 8,Zittau,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik oder Kooperationsklinik,321,"34,6 %",Im Toleranzbereich oder niedriger,0.89
260611258-1,260611258-1,St. Vinzenz Krankenhaus Hanau Haupthaus,Am Frankfurter Tor 25,Hanau,TRUE,Ja,Ja,Nein,Ja,39 % mehr als empfohlen,13.66,vorhanden,Keine Kinderklinik angegeben,1049,"22,2 %",Im Toleranzbereich oder niedriger,0.8
261500461-1,261500461-1,"Carl-von-Basedow-Klinikum Saalekreis gGmbH, Klinik für Frauenheilkunde und Geburtshilfe",Weiße Mauer 52,Merseburg,TRUE,Ja,Ja,Ja,Ja,39 % mehr als empfohlen,12,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,922,"32,0 %",Im Toleranzbereich oder niedriger,1.04
261200264-0,261200264-0,Asklepios Klinik Uckermark,Am Klinikum 1,Schwedt,TRUE,Ja,Ja,Ja,Nein,1 % weniger als empfohlen,5.6,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,313,"33,5 %",Im Toleranzbereich oder niedriger,1.22
260812558-0,260812558-0,Caritas-Krankenhaus Bad Mergentheim,Uhlandstr. 7,Bad Mergentheim,TRUE,Ja,Ja,Ja,Nein,7 % mehr als empfohlen,11.37,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,1131,"25,7 %",Im Toleranzbereich oder niedriger,0.84
260730025-1,260730025-1,Westpfalz-Klinikum GmbH,Hellmut-Hartert-Straße 1,Kaiserslautern,TRUE,Ja,Ja,Ja,Ja,23 % mehr als empfohlen,13.15,vorhanden,Eigene Kinderklinik,1141,"33,0 %",Im Toleranzbereich oder niedriger,1.02
260591107-1,260591107-1,"St. Martinus-Hospital, Olpe",NA,Olpe,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,701,"30,1 %",Im Toleranzbereich oder niedriger,1.03
261300802-2,261300802-2,Ameos Klinikum Anklam,Hospitalstrasse 19,Anklam,TRUE,Ja,Ja,Ja,Ja,überwiegend freiberufliche Hebammen³,NA,"n.v., da Beleghebammen",Eigene Kinderklinik oder Kooperationsklinik,362,"33,7 %",Im Toleranzbereich oder niedriger,1.19
260820466-0,260820466-0,Universitätsfrauenklinik Heidelberg,Im Neuenheimer Feld 440,Heidelberg,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik,2398,"44,0 %",Im Toleranzbereich oder niedriger,1.18
260811192-0,260811192-0,Diakonie-Klinikum Schwäbisch Hall gGmbH,NA,Schwäbisch Hall,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1371,"26,2 %",Im Toleranzbereich oder niedriger,0.85
260812364-1,260812364-1,Frauenklinik Klinikum Stuttgart,Kriegsbergstraße 62,Stuttgart,TRUE,Ja,Ja,Ja,Ja,1 % weniger als empfohlen,32,vorhanden,Eigene Kinderklinik,3481,"41,4 %",Im Toleranzbereich oder niedriger,1.18
260730478-1,260730478-1,Nardini Klinikum GmbH,Nardinistraße 30,Landstuhl,TRUE,Ja,Ja,Nein,Nein,29 % mehr als empfohlen,9.4,vorhanden,Keine Kinderklinik angegeben,775,"35,5 %",Im Toleranzbereich oder niedriger,1.21
260513282-2,260513282-2,Helios St. Anna Klinik Duisburg,Albertus-Magnus-Straße 33,Duisburg,TRUE,Nein,Ja,Nein,Ja,19 % mehr als empfohlen,6.7,vorhanden,Keine Kinderklinik angegeben,504,"33,7 %",Im Toleranzbereich oder niedriger,1.17
